verify format of method,
Test rounds:,5,
Batch size, Latent size, Input size, Learning rate, Epochs, Num resamples, Alpha,
32.0,6,8,0.001,100,10,0.5,

 ,FN,FP,TN,TP,F1,Accuracy,Precision,Recall,F1,
Avg,4.6,0.0,27.4,0.0,0.0,0.85625,0.0,0.0,0.0,
Min,3,0,25,0,-1,0.78125,-1,0.0,-1,
Max,3,0,25,0,-1,0.78125,-1,0.0,-1,
,
Test 1,3,0,29,0,-1,0.90625,-1,0.0,-1,
Test 2,5,0,27,0,-1,0.84375,-1,0.0,-1,
Test 3,4,0,28,0,-1,0.875,-1,0.0,-1,
Test 4,7,0,25,0,-1,0.78125,-1,0.0,-1,
Test 5,4,0,28,0,-1,0.875,-1,0.0,-1,
